name;ring;quadrant;isNew;strategy;importance;format;description
Security Scanning;Adpot;Techniques;FALSE;Cloud;1;ArcCircle Security & Quality 2025;Der automatisierte Prozess des Durchsuchens von Softwareanwendungen oder -systemen nach Sicherheitslücken, Schwachstellen und Bedrohungen, um potenzielle Risiken zu identifizieren und zu beheben.
Dev Containers;Assess;Tools;FALSE;Cloud;2;ArcCircle;A development container (or dev container for short) allows you to use a container as a full-featured development environment. It can be used to run an application, to separate tools, libraries, or runtimes needed for working with a codebase, and to aid in continuous integration and testing. Dev containers can be run locally or remotely, in a private or public cloud, in a variety
Clean Code;Adopt;Techniques;FALSE;Software Solutions;1;ArcCircle Security & Quality;Die Bewertung und Verbesserung der Struktur, Lesbarkeit und Effizienz des Quellcodes, um Fehler zu reduzieren, die Wartbarkeit zu erhöhen und die langfristige Qualität einer Softwareanwendung zu gewährleisten.
Terraform;Adopt;Tools;TRUE;Cloud;1;;Infrastrukturbereitstellung und Richtlinien als Code
Secure Code;Adopt;Techniques;FALSE;Cloud;1;ArcCircle Security & Quality;Die Entwicklung von sicherem Quellcode unter Berücksichtigung bewährter Sicherheitspraktiken, um Schwachstellen und Sicherheitslücken zu vermeiden und die Integrität und Vertraulichkeit von Daten zu schützen.
Infrastructure as Code;Adopt;Techniques;FALSE;Cloud;1;Academy;Ein Ansatz zur Verwaltung und Bereitstellung von IT-Infrastruktur, bei dem Infrastrukturkonfigurationen in Code geschrieben und versioniert werden, um die Automatisierung und Skalierbarkeit von Bereitstellungen zu verbessern.
Serverless;Assess;Techniques;FALSE;Cloud;1;ArcCircle + Techbrunch;Eine Cloud-Computing-Architektur, bei der Entwickler Code bereitstellen und ausführen können, ohne sich um die zugrunde liegende Infrastruktur kümmern zu müssen, wodurch die Entwicklung und Bereitstellung von Anwendungen vereinfacht wird.
Data Fabric;Adopt;Platforms;TRUE;Datenmanagment;1;SOT DataFabric + ArcCircle;Data Fabric ermöglicht Unternehmen eine nahtlose Verwaltung und Integration von Daten über verteilte Systeme hinweg, um eine einheitliche Datenansicht zu gewährleisten und die Datenverarbeitungseffizienz zu optimieren.
Grafana;Assess;Tools;FALSE;Datamanagement;2;(PowerBI, Grafana);Die grafische Darstellung von Daten und Informationen, um komplexe Muster, Trends und Beziehungen auf einen Blick zu erfassen und Entscheidungsfindung sowie Erkenntnisgewinn zu unterstützen.
Java;Adopt;languages-and-frameworks;;;;;Etablierte JVM Plattform fuer Unternehmensanwendungen
Springboot;Adopt;languages-and-frameworks;;;;;Framework fuer schnelle Entwicklung von Java Services
Angular;Adopt;languages-and-frameworks;;;;;Strukturiertes Frontend Framework fuer grosse Anwendungen
React;Adopt;languages-and-frameworks;;;;;Komponentenbasierte UI Bibliothek fuer Webanwendungen
Bun;Assess;languages-and-frameworks;;;;;Alternative zu NodeJs
Svelte;Assess;languages-and-frameworks;;;;;Leichtgewichtiges Framework mit Optimierung zur Build Zeit
VsCode;Adopt;Tools;;;;;Haupteditor mit vielseitigem Erweiterungsoekosystem
GCP;Assess;Platforms;TRUE;;;;Google Cloud Plattform fuer skalierbare Services
Foundry;Assess;Platforms;TRUE;;;;Daten und KI Plattform fuer Unternehmensprozesse
Splunk;Adopt;Tools;;;;;Observability und Log Analyse fuer den Betrieb
DevOps;Adopt;Techniques;;;;;Kultur und Praktiken fuer schnelle zuverlaessige Lieferung
shared agent instructions;Assess;Techniques;;;;;Wiederverwendbare Vorgaben fuer konsistentes Agentenverhalten
agent skills;Assess;Techniques;;;;;Aufgabenspezifische Faehigkeiten fuer spezialisierte Workflows
feedback for coding agent;Assess;Techniques;;;;;Rueckkopplung zur Verbesserung von Agentenergebnissen
Code intelligence as agentic tooling;Assess;Techniques;;;;;Codeverstaendnis und Aktionen durch Agentensteuerung
PyTorch;Assess;languages-and-frameworks;;;;;An open-source machine learning framework developed by Meta, widely considered the industry standard for deep learning research, rapid prototyping, and complex neural network architecture
TensorFlow;Assess;languages-and-frameworks;;;;;An end-to-end open-source platform by Google that excels in scalable production, deployment to mobile/edge devices via TensorFlow Lite, and web browsers via TensorFlow.js
scikit-learn;Assess;languages-and-frameworks;;;;;The premier Python library for classical machine learning, focusing on tabular data, statistical modeling, clustering, and regression algorithms.
Google Gemini;Trial;Tools;;;;;Googles KI-Assistent für Recherche, Textgenerierung, Programmierung und kreative Aufgaben.
GitHub Copilot;Adopt;Tools;;;;;KI-gestützter Programmierassistent für Codevorschläge und Entwicklerproduktivität.
Claude;Adopt;Tools;;;;;KI-Assistent von Anthropic für Textanalyse, Schreiben und Programmierung.
Ollama;Adopt;Tools;;;;;Plattform zum lokalen Ausführen und Verwalten von Large Language Models (LLMs).
DeepSeek;Assess;Tools;;;;;KI-Modell für Textgenerierung, Programmierung und logisches Denken.
Perplexity;Assess;Tools;;;;;KI-Suchmaschine mit aktuellen Informationen und Quellenangaben.
Grok;Assess;Tools;;;;;KI-Assistent von xAI für Wissen, Programmierung und Konversation.
Google Gemini Platform Agents;Assess;Platforms;;;;;Plattform zur Entwicklung und Ausführung intelligenter KI-Agenten mit Gemini.
RAG (Retrieval-Augmented Generation);Adopt;Techniques;;;;;KI-Ansatz zur Kombination von Sprachmodellen mit externen Wissensquellen.
Agent Orchestration;Adopt;Techniques;;;;;Koordination mehrerer KI-Agenten zur Automatisierung komplexer Arbeitsabläufe.
