name,ring,quadrant,isNew,description
Wildfly,Hold,,FALSE,"Wildfly, ehemals bekannt als JBoss AS, ist ein flexibler, leichtgewichtiger und leistungsstarker Java-Anwendungsserver. Er unterstützt die neuesten Standards für Web- und Enterprise-Java-Anwendungen und ist für seine Modularität und Geschwindigkeit bekannt."
JBoss,Hold,,FALSE,"JBoss ist ein Open-Source-Anwendungsserver, der von Red Hat entwickelt wird. Er ist Teil der JBoss Enterprise Middleware Suite und bietet eine robuste Plattform für die Entwicklung und den Betrieb von Enterprise-Java-Anwendungen."
Tomcat,Hold,,FALSE,"Apache Tomcat ist ein Open-Source-Webserver und Servlet-Container, der Java Servlet und JSP-Spezifikationen unterstützt. Er wird häufig für die Ausführung von Java-Webanwendungen und als Webserver verwendet."
Secure Infrastructure,Trial,,TRUE,
AWS,Assess,Platforms,FALSE,"Amazon Web Services (AWS) ist eine umfassende und weit verbreitete Cloud-Plattform, die eine Vielzahl von Diensten wie Rechenleistung, Speicherung und Datenbanken anbietet. Sie ermöglicht skalierbare und flexible Lösungen für Unternehmen und Entwickler."
Azure,Adopt,Platforms,FALSE,"Microsoft Azure ist eine Cloud-Computing-Plattform, die eine Vielzahl von Diensten bietet, darunter IaaS, PaaS und SaaS-Lösungen für Speicherung, Analyse, Netzwerk und vieles mehr. Sie ist bekannt für ihre Integration in Microsoft-Produkte."
GCP,Assess,Platforms,FALSE,"Google Cloud Platform (GCP) bietet Cloud-Computing-Dienste, die die gleiche Infrastruktur verwenden, die Google intern für Produkte wie Google Search und YouTube nutzt. Sie bietet Dienste in Bereichen wie Computing, Speicherung und Datenbanken."
Guidewire,Hold,,FALSE,"Guidewire ist eine Plattform für Versicherungsunternehmen, die Softwareprodukte für Schadens- und Unfallversicherungen anbietet. Sie umfasst Anwendungen für Policenverwaltung, Schadensabwicklung und Datenanalyse."
SAP,Adopt,Tools,FALSE,"SAP ist ein weltweit führender Anbieter von Unternehmenssoftware, der integrierte Lösungen für Geschäftsprozesse bietet. SAP-Produkte ermöglichen es Unternehmen, Prozesse zu vereinfachen, Effizienz zu steigern und sich auf ihre Kernkompetenzen zu konzentrieren."
Excel,Adopt,,FALSE,"Microsoft Excel ist ein weit verbreitetes Tabellenkalkulationsprogramm, das Funktionen für die Analyse, Verarbeitung und Visualisierung von Daten bietet. Es wird in verschiedenen Geschäftsbereichen für das Datenmanagement und die Berichterstattung verwendet."
Wordpress,Hold,,FALSE,"WordPress ist ein Open-Source-Content-Management-System (CMS), das sich besonders für die Erstellung und Verwaltung von Blogs und Websites eignet. Es ist bekannt für seine benutzerfreundliche Oberfläche und flexible Anpassungsmöglichkeiten."
Oracle Golden Gate,Hold,,FALSE,"Oracle GoldenGate ist eine Software für die Datenreplikation, die eine Echtzeit-Datensynchronisation und -transformation über verschiedene Datenbanken und Plattformen hinweg ermöglicht. Sie wird für Datenmigration, Backup und Hochverfügbarkeitslösungen verwendet."
GitHub,Adopt,Tools,FALSE,"GitHub ist eine Plattform für die Versionskontrolle und Kollaboration, die es Entwicklern ermöglicht, gemeinsam an Projekten zu arbeiten. Es basiert auf Git und bietet Funktionen wie Code-Review, Projektmanagement und CI/CD-Integration."
Bitbucket,Assess,,FALSE,"Bitbucket ist ein webbasiertes Versionskontrollrepository, das von Atlassian für Quellcode-Management und Projektkollaboration angeboten wird. Es unterstützt Git und Mercurial und bietet Integrationen mit anderen Atlassian-Produkten."
Gitlab,Assess,Tools,FALSE,"GitLab ist eine webbasierte DevOps-Lebenszyklus-Plattform, die Git-Repository-Management, Issue-Tracking, Continuous Integration/Deployment und mehr in einer einzigen Anwendung bietet. Sie unterstützt die Zusammenarbeit und Automatisierung im gesamten Softwareentwicklungsprozess."
Entwicklungsumgebung,Adopt,Tools,TRUE,
Codespaces,Assess,Tools,TRUE,
Visual Studio,Adopt,,FALSE,"Microsoft Visual Studio ist eine umfassende IDE für Windows- und Web-Entwicklung. Sie unterstützt verschiedene Programmiersprachen wie C#, VB.NET und C++ und bietet Tools für die Entwicklung, Debugging und das Testen von Anwendungen."
Bamboo,Hold,,FALSE,"Bamboo ist ein Continuous Integration und Continuous Delivery Server von Atlassian. Er ermöglicht es Teams, automatische Builds, Tests und Releases in ihre Softwareentwicklungsprozesse zu integrieren."
Jenkins,Hold,,FALSE,"Jenkins ist ein Open-Source-Automatisierungsserver, der für Continuous Integration und Continuous Delivery verwendet wird. Er bietet eine große Auswahl an Plugins, um den Entwicklungsprozess verschiedener Technologien zu unterstützen."
Teamcity,Hold,,FALSE,"TeamCity ist ein Continuous Integration und Continuous Delivery Server von JetBrains. Er bietet erweiterte Funktionen für die Automatisierung von Builds, Tests und Deployments und unterstützt eine Vielzahl von Tools und Sprachen."
Azure DevOps,Trial,Tools,FALSE,"Azure DevOps ist eine Suite von DevOps-Tools von Microsoft, die Versionskontrolle, Reporting, Anforderungsmanagement, automatisierte Builds, Testing und Release-Management bietet. Sie unterstützt eine Vielzahl von Programmiersprachen und Cloud-Umgebungen."
Maven,Adopt,,FALSE,"Apache Maven ist ein Build-Automatisierungstool, das hauptsächlich für Java-Projekte verwendet wird. Es verwendet ein Projektobjektmodell (POM), um den Build-Prozess zu verwalten und Abhängigkeiten zu definieren."
Nexus,Trial,,FALSE,"Sonatype Nexus ist ein Repository-Manager, der Entwicklern hilft, Abhängigkeiten zu sammeln, zu speichern und zu verteilen. Er unterstützt verschiedene Repository-Formate wie Maven, NuGet und npm."
Code Quality,Adopt,Techniques,TRUE,
Automation,Adopt,Techniques,TRUE,
Jira,Adopt,,FALSE,"Jira ist ein Produkt von Atlassian, das für die Nachverfolgung von Problemen und die Projektverwaltung verwendet wird. Es ist besonders beliebt in der Softwareentwicklung für das Management von Aufgaben, Bugs und agilen Prozessen."
Git,Adopt,,FALSE,"Git ist ein verteiltes Versionskontrollsystem, das für die Verfolgung von Änderungen in Quellcode während der Softwareentwicklung verwendet wird. Es ermöglicht die Koordination der Arbeit zwischen mehreren Entwicklern und unterstützt Non-Linear-Development-Strategien."
Microservices,Adopt,Techniques,FALSE,"Microservices sind ein Architekturansatz, bei dem eine Anwendung als Sammlung kleiner, unabhängiger Dienste entwickelt wird. Jeder Dienst ist um eine bestimmte Geschäftsfunktion herum aufgebaut und kann unabhängig skaliert und aktualisiert werden."
Monolith,Adopt,,FALSE,"Ein Monolith ist ein Softwareentwicklungsparadigma, bei dem eine Anwendung als einzelne, unteilbare Einheit erstellt wird. In einer monolithischen Architektur sind alle Funktionen eng miteinander verbunden und in einem einzigen Programmcode zusammengefasst."
DDD,Trial,Techniques,FALSE,"Domain-Driven Design (DDD) ist ein Ansatz für die Softwareentwicklung, der sich auf die Modellierung einer Software nach dem Domänenmodell des Anwendungsbereichs konzentriert. Es betont die Wichtigkeit von Zusammenarbeit zwischen technischen und domänenexperten."
Secure Code,Adopt,Techniques,TRUE,
OAuth,Adopt,,FALSE,"OAuth ist ein offener Standard für Zugriffsberechtigungen, der es Benutzern ermöglicht, Websites oder Anwendungen den Zugriff auf ihre Informationen auf anderen Websites zu gewähren, ohne ihnen die Passwörter direkt mitzuteilen."
Cryptography,Trial,,FALSE,"Kryptographie ist die Praxis und das Studium von Techniken zur sicheren Kommunikation im Vorhandensein von Drittparteien. Sie wird in der Informationssicherheit für Datenverschlüsselung, digitale Signaturen und Authentifizierung verwendet."
IDP/IAM,Trial,Techniques,FALSE,Identity Provider (IDP) und Identity and Access Management (IAM) sind Systeme zur Verwaltung von Identitätsinformationen und zur Bereitstellung von Zugangskontrolle und Authentifizierung in Organisationen. Sie unterstützen die Sicherheit und Compliance-Anforderungen.
Integration Testing,Adopt,Techniques,TRUE,
Scrum,Adopt,,FALSE,"Scrum ist ein agiles Framework für das Projektmanagement, das besonders in der Softwareentwicklung verwendet wird. Es fördert die Zusammenarbeit, Flexibilität und iterative Fortschritte in Richtung eines definierten Ziels."
Kanban,Adopt,,FALSE,"Kanban ist eine Methode zur Visualisierung und Verwaltung von Arbeitsabläufen und Prozessen, die ursprünglich in der Produktion entwickelt wurde und nun in der Softwareentwicklung weit verbreitet ist. Sie hilft, Arbeit zu priorisieren und Engpässe zu identifizieren."
SAFE,Assess,Techniques,FALSE,"Scaled Agile Framework (SAFe) ist ein Framework für die Skalierung agiler und Lean-Praktiken in großen Unternehmen. Es bietet ein strukturiertes Vorgehen für komplexe, große Projekte mit mehreren agilen Teams."
Agile,Adopt,,FALSE,"Agile Softwareentwicklung bezieht sich auf einen Satz von Prinzipien für Softwareentwicklung unter Verwendung iterativer Methoden, in denen Anforderungen und Lösungen durch die kollaborative Anstrengung von selbstorganisierenden Teams entstehen."
ITIL,Trial,,FALSE,"IT Infrastructure Library (ITIL) ist ein Satz von Praktiken für IT-Service-Management (ITSM), die sich auf die Ausrichtung von IT-Dienstleistungen mit den Geschäftsbedürfnissen konzentrieren. ITIL umfasst Prozesse für Service-Strategie, -Design, -Übergang und -Betrieb."
Requirements Engineering,Adopt,,FALSE,"Requirements Engineering ist der Prozess der Definition, Dokumentation und Pflege von Anforderungen im Engineering-Prozess. Es ist ein fundamentaler Aspekt der Softwareentwicklung, der sicherstellt, dass die Produkte den Bedürfnissen der Benutzer entsprechen."
Business Analyse,Adopt,,FALSE,"Business Analyse bezieht sich auf das Praktizieren der Identifikation von Geschäftsanforderungen und Lösung von Geschäftsproblemen. Business-Analysten arbeiten daran, Prozesse zu optimieren, Lösungen zu entwickeln und Veränderungen zu managen."
Data Mesh & Lake,Assess,Techniques,FALSE,"Data Mesh ist ein Konzept in der Datenarchitektur, das eine dezentrale Ansatzweise zur Datenverwaltung und -analyse fördert. Es zielt darauf ab, Daten als Produkt zu behandeln, wobei Domänenteams Verantwortung für ihre Daten tragen."
Data Lake,Assess,,FALSE,"Ein Data Lake ist ein zentraler Speicherort, der große Mengen an Rohdaten in ihrem nativen Format speichert. Es ermöglicht die Speicherung von strukturierten, halbstrukturierten und unstrukturierten Daten für Analysezwecke."
Multi Cloud,Assess,Techniques,FALSE,"Multi Cloud bezieht sich auf die Nutzung mehrerer Cloud-Computing-Dienste in einer heterogenen Architektur. Dieser Ansatz ermöglicht es Unternehmen, die Vorteile verschiedener Cloud-Anbieter zu nutzen und das Risiko von Anbieterabhängigkeiten zu verringern."
Data Ops,Assess,Techniques,FALSE,"DataOps (Data Operations) ist ein agiler Ansatz zur Entwicklung und Verwaltung von Datenanalytik, der den Fokus auf Kommunikation, Integration und Automatisierung der Datenflüsse zwischen Datenmanagern und Datenkonsumenten in einer Organisation legt."
Datamining,Assess,Techniques,FALSE,"Datamining ist der Prozess des Entdeckens von Mustern und Wissen aus großen Datenmengen. Es verwendet Methoden aus Statistik, maschinellem Lernen und Datenbank-Systemen, um Einblicke in Datenbestände zu gewinnen."
DB2,Hold,,FALSE,"IBM DB2 ist ein Datenbankmanagementsystem, das robuste Datenverwaltung und Analytics-Fähigkeiten bietet. Es unterstützt verschiedene Datenformate und ist sowohl für OLTP- als auch für OLAP-Systeme geeignet."
Databricks,Trial,Platforms,FALSE,Databricks ist eine auf Apache Spark basierende Plattform für Big Data Analytics und maschinelles Lernen. Sie ermöglicht die schnelle und effiziente Verarbeitung großer Datenmengen und bietet eine kollaborative Umgebung für Datenwissenschaftler und Ingenieure.
Microsoft Fabric,Trial,Platforms,FALSE,"Service Fabric ist eine Microsoft-Plattform, die die Entwicklung und das Hosting von skalierbaren Microservices und Containern ermöglicht. Es unterstützt die Entwicklung von Hochleistungsanwendungen mit zuverlässiger und konsistenter Datenverarbeitung."
SQL,Adopt,,FALSE,"SQL (Structured Query Language) ist eine standardisierte Sprache zur Verwaltung und Manipulation von Daten in relationalen Datenbanksystemen. Sie wird verwendet, um Daten abzufragen, zu aktualisieren, einzufügen und zu löschen."
KQL,Trial,,FALSE,"Kusto Query Language (KQL) ist eine leistungsstarke Abfragesprache, die speziell für Azure Data Explorer entwickelt wurde. Sie wird verwendet, um komplexe Analyseoperationen auf großen Datenmengen durchzuführen."
SAS,Trial,,FALSE,"SAS (Statistical Analysis System) ist eine Software-Suite für Datenmanagement, fortgeschrittene Analysen, multivariate Analysen, Business Intelligence und prädiktive Analytik. Sie wird häufig in der Statistik und Data Science eingesetzt."
ChatGPT,Trial,Tools,FALSE,"ChatGPT ist ein auf künstlicher Intelligenz basierendes Modell für natürliche Sprachverarbeitung, entwickelt von OpenAI. Es kann für Aufgaben wie Textgenerierung, Konversationen, Übersetzungen und Antworten auf Benutzeranfragen verwendet werden."
Parquet,Trial,,FALSE,"Apache Parquet ist ein Open-Source-Spaltenorientiertes Datenspeicherformat, das in der Big Data-Welt verbreitet ist. Es ist effizient für die Speicherung und Verarbeitung großer Datenmengen und bietet hohe Kompressionsraten sowie effiziente Datenabfragen."
Informatica,Trial,,FALSE,"Informatica ist ein führender Anbieter von ETL-Tools (Extract, Transform, Load) und Datenintegrationssoftware. Ihre Produkte unterstützen Datenintegration, Datenqualität, Datenmanagement und Cloud-Datenverwaltung."
Power BI,Trial,,FALSE,"Microsoft Power BI ist ein Business-Intelligence-Tool, das Datenvisualisierung und Reporting ermöglicht. Es bietet eine Vielzahl von Datenkonnektoren, visuellen Tools und Integration in andere Microsoft-Produkte wie Excel."
Tableau,Trial,,FALSE,"Tableau ist ein führendes Visual Analytics-Tool, das benutzerfreundliche Datenvisualisierung und Business Intelligence ermöglicht. Es unterstützt die Erstellung von interaktiven und sharebaren Dashboards und erleichtert die Datenanalyse."
Infrastructure as Code,,,,
Serverless,,,,
